States,Account_Length,Area-Code,Phone,International Plan,Vmail Plan,Vmail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge ,International Mins,International Calls,International Charge,Cutserv Calls,Churn_Flag
MI,108.00,408.00, 378-6276,0.00,1.00,32.00,210.00,108.00,36.00,110.00,64.00,9.00,190.00,145.00,9.00,9.00,6.00,2.00,6.00,1.00
MT,28.00,415.00, 357-9136,0.00,0.00,0.00,122.00,48.00,21.00,126.00,112.00,11.00,262.00,122.00,12.00,8.00,2.00,2.00,6.00,1.00
MD,116.00,408.00, 405-2276,0.00,0.00,0.00,159.00,79.00,27.00,180.00,88.00,15.00,168.00,71.00,8.00,10.00,2.00,3.00,6.00,1.00
OR,100.00,415.00, 388-6108,0.00,1.00,31.00,68.00,67.00,12.00,147.00,116.00,13.00,288.00,103.00,13.00,12.00,2.00,3.00,6.00,1.00
MN,40.00,510.00, 350-7114,0.00,0.00,0.00,82.00,123.00,14.00,210.00,108.00,18.00,212.00,64.00,10.00,11.00,3.00,3.00,6.00,1.00
KY,98.00,415.00, 333-3010,0.00,1.00,36.00,168.00,81.00,29.00,163.00,125.00,14.00,173.00,120.00,8.00,8.00,2.00,2.00,6.00,1.00
ID,103.00,415.00, 346-5992,0.00,0.00,0.00,175.00,151.00,30.00,148.00,56.00,13.00,168.00,109.00,8.00,16.00,3.00,4.00,6.00,1.00
UT,105.00,415.00, 385-8184,0.00,0.00,0.00,106.00,71.00,18.00,240.00,83.00,20.00,148.00,114.00,7.00,5.00,4.00,1.00,6.00,1.00
NY,82.00,415.00, 356-5475,0.00,0.00,0.00,167.00,77.00,28.00,132.00,79.00,11.00,187.00,98.00,8.00,9.00,1.00,3.00,6.00,1.00
MS,120.00,415.00, 385-1622,0.00,0.00,0.00,113.00,80.00,19.00,124.00,86.00,11.00,235.00,88.00,11.00,8.00,3.00,2.00,6.00,1.00
UT,103.00,510.00, 327-3587,0.00,1.00,36.00,87.00,92.00,15.00,169.00,110.00,14.00,167.00,80.00,8.00,11.00,5.00,3.00,6.00,1.00
AR,118.00,415.00, 402-3892,0.00,0.00,0.00,268.00,145.00,46.00,316.00,121.00,27.00,209.00,91.00,9.00,14.00,11.00,4.00,5.00,1.00
IA,157.00,415.00, 354-7711,0.00,0.00,0.00,249.00,113.00,42.00,252.00,79.00,21.00,263.00,46.00,12.00,8.00,3.00,2.00,5.00,1.00
DC,65.00,408.00, 357-4496,0.00,0.00,0.00,245.00,72.00,42.00,206.00,88.00,18.00,300.00,110.00,13.00,8.00,1.00,2.00,5.00,1.00
WY,123.00,415.00, 387-1116,0.00,0.00,0.00,242.00,87.00,41.00,226.00,101.00,19.00,269.00,121.00,12.00,8.00,3.00,2.00,5.00,1.00
DE,120.00,415.00, 402-2085,0.00,0.00,0.00,253.00,95.00,43.00,211.00,86.00,18.00,254.00,81.00,11.00,10.00,4.00,3.00,5.00,1.00
OR,135.00,415.00, 377-1293,0.00,0.00,0.00,264.00,66.00,45.00,251.00,116.00,21.00,200.00,112.00,9.00,8.00,2.00,2.00,5.00,1.00
NC,130.00,408.00, 384-4938,1.00,0.00,0.00,216.00,106.00,37.00,364.00,86.00,31.00,127.00,123.00,6.00,17.00,2.00,5.00,5.00,1.00
IN,116.00,415.00, 410-5726,0.00,0.00,0.00,271.00,114.00,46.00,210.00,71.00,18.00,194.00,109.00,9.00,14.00,2.00,4.00,5.00,1.00
MI,116.00,408.00, 379-2503,0.00,0.00,0.00,133.00,94.00,23.00,248.00,126.00,21.00,219.00,78.00,10.00,11.00,5.00,3.00,5.00,1.00
IN,117.00,415.00, 362-5899,0.00,0.00,0.00,118.00,126.00,20.00,249.00,97.00,21.00,227.00,56.00,10.00,14.00,3.00,4.00,5.00,1.00
KY,113.00,408.00, 403-2673,0.00,1.00,20.00,158.00,83.00,27.00,162.00,56.00,14.00,272.00,100.00,12.00,9.00,2.00,2.00,5.00,1.00
DC,114.00,415.00, 354-5689,0.00,0.00,0.00,147.00,119.00,25.00,161.00,111.00,14.00,276.00,106.00,12.00,9.00,3.00,2.00,5.00,1.00
CA,79.00,510.00, 416-8701,0.00,0.00,0.00,158.00,85.00,27.00,194.00,92.00,17.00,232.00,86.00,10.00,9.00,10.00,3.00,5.00,1.00
WY,87.00,415.00, 353-3759,0.00,0.00,0.00,151.00,83.00,26.00,220.00,116.00,19.00,204.00,127.00,9.00,10.00,3.00,3.00,5.00,1.00
MA,50.00,510.00, 420-8150,0.00,0.00,0.00,160.00,64.00,27.00,209.00,123.00,18.00,200.00,84.00,9.00,8.00,12.00,2.00,5.00,1.00
MI,91.00,415.00, 390-7930,0.00,0.00,0.00,154.00,165.00,26.00,168.00,121.00,14.00,240.00,81.00,11.00,12.00,4.00,3.00,5.00,1.00
MA,150.00,408.00, 342-8813,0.00,0.00,0.00,151.00,92.00,26.00,191.00,106.00,16.00,224.00,107.00,10.00,8.00,4.00,2.00,5.00,1.00
AL,89.00,510.00, 347-2016,0.00,0.00,0.00,129.00,71.00,22.00,214.00,68.00,18.00,215.00,100.00,10.00,10.00,4.00,3.00,5.00,1.00
NM,42.00,415.00, 389-2130,0.00,0.00,0.00,138.00,160.00,23.00,235.00,107.00,20.00,167.00,70.00,8.00,14.00,3.00,4.00,5.00,1.00
ME,163.00,415.00, 354-3619,0.00,1.00,30.00,195.00,123.00,33.00,126.00,115.00,11.00,221.00,90.00,10.00,9.00,5.00,2.00,5.00,1.00
KY,21.00,415.00, 412-1991,0.00,0.00,0.00,93.00,95.00,16.00,162.00,70.00,14.00,285.00,78.00,13.00,11.00,3.00,3.00,5.00,1.00
MS,118.00,415.00, 397-9148,0.00,1.00,26.00,171.00,114.00,29.00,200.00,125.00,17.00,170.00,98.00,8.00,10.00,5.00,3.00,5.00,1.00
MN,139.00,510.00, 374-9107,0.00,0.00,0.00,134.00,106.00,23.00,211.00,98.00,18.00,194.00,125.00,9.00,10.00,2.00,3.00,5.00,1.00
MO,76.00,510.00, 418-7055,0.00,0.00,0.00,130.00,84.00,22.00,178.00,80.00,15.00,229.00,87.00,10.00,8.00,3.00,2.00,5.00,1.00
ID,119.00,415.00, 398-1294,0.00,0.00,0.00,159.00,114.00,27.00,231.00,117.00,20.00,143.00,91.00,6.00,9.00,3.00,2.00,5.00,1.00
NV,64.00,408.00, 350-7306,0.00,0.00,0.00,148.00,73.00,25.00,165.00,101.00,14.00,216.00,125.00,10.00,12.00,2.00,3.00,5.00,1.00
NH,131.00,510.00, 401-9705,0.00,0.00,0.00,104.00,105.00,18.00,174.00,103.00,15.00,248.00,95.00,11.00,12.00,2.00,3.00,5.00,1.00
AL,197.00,415.00, 395-7923,1.00,0.00,0.00,127.00,80.00,22.00,222.00,115.00,19.00,174.00,95.00,8.00,14.00,5.00,4.00,5.00,1.00
WV,161.00,415.00, 364-4223,0.00,0.00,0.00,160.00,102.00,27.00,213.00,119.00,18.00,151.00,83.00,7.00,13.00,7.00,3.00,5.00,1.00
MN,38.00,510.00, 399-5291,0.00,0.00,0.00,176.00,109.00,30.00,212.00,97.00,18.00,138.00,109.00,6.00,9.00,3.00,2.00,5.00,1.00
MD,111.00,510.00, 372-8883,0.00,0.00,0.00,123.00,88.00,21.00,214.00,84.00,18.00,185.00,88.00,8.00,12.00,2.00,3.00,5.00,1.00
OK,101.00,408.00, 345-1524,0.00,0.00,0.00,90.00,118.00,15.00,260.00,79.00,22.00,170.00,93.00,8.00,14.00,11.00,4.00,5.00,1.00
WV,166.00,408.00, 403-2223,0.00,1.00,41.00,197.00,109.00,33.00,124.00,107.00,11.00,198.00,94.00,9.00,11.00,5.00,3.00,5.00,1.00
NH,35.00,408.00, 393-8762,0.00,0.00,0.00,138.00,115.00,23.00,158.00,82.00,13.00,216.00,118.00,10.00,10.00,2.00,3.00,5.00,1.00
CT,96.00,415.00, 387-5860,0.00,1.00,37.00,173.00,93.00,29.00,120.00,116.00,10.00,216.00,86.00,10.00,10.00,5.00,3.00,5.00,1.00
LA,96.00,510.00, 392-8993,0.00,0.00,0.00,183.00,75.00,31.00,189.00,67.00,16.00,138.00,81.00,6.00,10.00,3.00,3.00,5.00,1.00
UT,68.00,415.00, 398-3834,0.00,0.00,0.00,162.00,86.00,28.00,155.00,86.00,13.00,190.00,87.00,9.00,11.00,9.00,3.00,5.00,1.00
MO,85.00,510.00, 383-6095,0.00,0.00,0.00,166.00,96.00,28.00,190.00,141.00,16.00,144.00,116.00,6.00,11.00,3.00,3.00,5.00,1.00
WV,50.00,408.00, 348-7193,0.00,0.00,0.00,131.00,129.00,22.00,161.00,94.00,14.00,207.00,88.00,9.00,6.00,9.00,2.00,5.00,1.00
WV,88.00,510.00, 421-1326,0.00,0.00,0.00,132.00,99.00,22.00,175.00,128.00,15.00,184.00,83.00,8.00,8.00,2.00,2.00,5.00,1.00
GA,132.00,415.00, 368-5437,0.00,0.00,0.00,193.00,106.00,33.00,128.00,94.00,11.00,162.00,119.00,7.00,12.00,4.00,3.00,5.00,1.00
SD,137.00,415.00, 373-1223,0.00,0.00,0.00,145.00,119.00,25.00,167.00,89.00,14.00,175.00,76.00,8.00,6.00,4.00,2.00,5.00,1.00
TN,175.00,408.00, 349-9172,1.00,1.00,35.00,160.00,95.00,27.00,141.00,100.00,12.00,176.00,99.00,8.00,5.00,4.00,1.00,5.00,1.00
VT,95.00,510.00, 378-3508,1.00,1.00,41.00,137.00,91.00,23.00,201.00,61.00,17.00,134.00,67.00,6.00,10.00,9.00,3.00,5.00,1.00
TX,1.00,415.00, 396-4254,0.00,0.00,0.00,182.00,106.00,31.00,135.00,106.00,11.00,152.00,75.00,7.00,10.00,3.00,3.00,5.00,1.00
NY,77.00,415.00, 388-9285,0.00,1.00,33.00,143.00,101.00,24.00,212.00,102.00,18.00,105.00,120.00,5.00,15.00,4.00,4.00,5.00,1.00
AR,98.00,415.00, 328-7833,0.00,0.00,0.00,227.00,116.00,39.00,121.00,103.00,10.00,117.00,102.00,5.00,5.00,4.00,1.00,5.00,1.00
NM,119.00,415.00, 352-5118,1.00,1.00,15.00,160.00,95.00,27.00,210.00,110.00,18.00,82.00,107.00,4.00,9.00,5.00,2.00,5.00,1.00
FL,185.00,510.00, 401-8590,0.00,1.00,24.00,122.00,100.00,21.00,108.00,77.00,9.00,206.00,98.00,9.00,12.00,2.00,3.00,5.00,1.00
WI,149.00,415.00, 339-6637,1.00,1.00,28.00,127.00,97.00,22.00,167.00,102.00,14.00,145.00,77.00,7.00,9.00,3.00,2.00,5.00,1.00
CO,77.00,408.00, 393-7984,0.00,0.00,0.00,62.00,89.00,11.00,170.00,121.00,14.00,210.00,64.00,9.00,6.00,6.00,2.00,5.00,1.00
AR,113.00,415.00, 338-6714,1.00,0.00,0.00,122.00,112.00,21.00,132.00,94.00,11.00,170.00,106.00,8.00,10.00,9.00,3.00,5.00,1.00
CA,112.00,415.00, 338-6962,0.00,0.00,0.00,112.00,92.00,19.00,114.00,143.00,10.00,147.00,79.00,7.00,14.00,3.00,4.00,5.00,1.00
WV,113.00,415.00, 341-7686,0.00,0.00,0.00,61.00,111.00,10.00,92.00,88.00,8.00,197.00,114.00,9.00,14.00,3.00,4.00,5.00,1.00
AK,126.00,415.00, 372-3750,0.00,0.00,0.00,58.00,94.00,10.00,139.00,118.00,12.00,137.00,91.00,6.00,12.00,1.00,3.00,5.00,1.00
TX,72.00,415.00, 379-7890,1.00,0.00,0.00,286.00,101.00,49.00,306.00,94.00,26.00,233.00,89.00,10.00,10.00,1.00,3.00,4.00,1.00
IN,72.00,510.00, 391-1499,0.00,0.00,0.00,287.00,116.00,49.00,235.00,126.00,20.00,292.00,114.00,13.00,5.00,3.00,1.00,4.00,1.00
NY,161.00,415.00, 351-7269,0.00,0.00,0.00,333.00,67.00,57.00,318.00,97.00,27.00,161.00,128.00,7.00,5.00,9.00,1.00,4.00,1.00
GA,69.00,408.00, 420-7243,0.00,0.00,0.00,216.00,122.00,37.00,270.00,114.00,23.00,302.00,129.00,14.00,6.00,5.00,2.00,4.00,1.00
VT,63.00,415.00, 394-7447,0.00,0.00,0.00,278.00,102.00,47.00,266.00,114.00,23.00,224.00,118.00,10.00,13.00,4.00,4.00,4.00,1.00
MD,88.00,415.00, 358-4576,1.00,0.00,0.00,235.00,98.00,40.00,252.00,79.00,21.00,286.00,76.00,13.00,7.00,2.00,2.00,4.00,1.00
MD,62.00,408.00, 409-1856,0.00,0.00,0.00,321.00,105.00,55.00,266.00,122.00,23.00,181.00,72.00,8.00,12.00,2.00,3.00,4.00,1.00
OH,65.00,415.00, 405-3097,0.00,0.00,0.00,246.00,139.00,42.00,242.00,113.00,21.00,285.00,117.00,13.00,4.00,5.00,1.00,4.00,1.00
ME,131.00,510.00, 353-7292,1.00,1.00,26.00,293.00,101.00,50.00,200.00,97.00,17.00,255.00,127.00,11.00,14.00,7.00,4.00,4.00,1.00
MA,98.00,510.00, 366-3358,0.00,0.00,0.00,271.00,119.00,46.00,190.00,102.00,16.00,285.00,118.00,13.00,11.00,6.00,3.00,4.00,1.00
CO,130.00,408.00, 349-3005,0.00,0.00,0.00,272.00,129.00,46.00,237.00,128.00,20.00,210.00,91.00,9.00,9.00,2.00,2.00,4.00,1.00
NJ,88.00,415.00, 347-8659,0.00,0.00,0.00,302.00,136.00,51.00,258.00,72.00,22.00,133.00,118.00,6.00,13.00,2.00,4.00,4.00,1.00
NH,95.00,408.00, 400-8538,1.00,0.00,0.00,229.00,134.00,39.00,256.00,71.00,22.00,208.00,120.00,9.00,10.00,2.00,3.00,4.00,1.00
PA,97.00,510.00, 365-7774,1.00,0.00,0.00,145.00,103.00,25.00,294.00,93.00,25.00,240.00,120.00,11.00,11.00,2.00,3.00,4.00,1.00
CA,105.00,415.00, 409-9911,0.00,1.00,31.00,110.00,108.00,19.00,249.00,119.00,21.00,321.00,101.00,14.00,8.00,4.00,2.00,4.00,1.00
IA,44.00,415.00, 359-7426,0.00,0.00,0.00,309.00,139.00,52.00,151.00,94.00,13.00,199.00,66.00,9.00,7.00,3.00,2.00,4.00,1.00
IN,122.00,408.00, 336-3819,0.00,0.00,0.00,296.00,99.00,50.00,215.00,89.00,18.00,134.00,107.00,6.00,11.00,3.00,3.00,4.00,1.00
AR,76.00,408.00, 345-3614,0.00,0.00,0.00,107.00,140.00,18.00,238.00,133.00,20.00,272.00,116.00,12.00,10.00,3.00,3.00,4.00,1.00
OK,33.00,415.00, 396-3744,1.00,0.00,0.00,247.00,114.00,42.00,147.00,110.00,12.00,209.00,94.00,9.00,11.00,2.00,3.00,4.00,1.00
MT,100.00,415.00, 341-4873,0.00,0.00,0.00,113.00,96.00,19.00,198.00,89.00,17.00,285.00,93.00,13.00,12.00,2.00,3.00,4.00,1.00
IL,71.00,510.00, 330-7137,1.00,0.00,0.00,186.00,114.00,32.00,199.00,140.00,17.00,207.00,80.00,9.00,14.00,5.00,4.00,4.00,1.00
TN,108.00,510.00, 356-8449,0.00,1.00,34.00,162.00,83.00,28.00,172.00,117.00,15.00,260.00,76.00,12.00,10.00,3.00,3.00,4.00,1.00
UT,89.00,408.00, 393-7267,0.00,0.00,0.00,144.00,74.00,25.00,165.00,119.00,14.00,279.00,121.00,13.00,12.00,7.00,3.00,4.00,1.00
SC,77.00,510.00, 369-7017,0.00,1.00,28.00,136.00,117.00,23.00,245.00,102.00,21.00,208.00,74.00,9.00,12.00,3.00,3.00,4.00,1.00
LA,124.00,510.00, 348-4316,0.00,0.00,0.00,143.00,120.00,24.00,231.00,111.00,20.00,214.00,91.00,10.00,8.00,2.00,2.00,4.00,1.00
NV,88.00,415.00, 364-3286,0.00,0.00,0.00,167.00,61.00,28.00,179.00,88.00,15.00,243.00,131.00,11.00,7.00,7.00,2.00,4.00,1.00
VT,106.00,510.00, 420-4654,1.00,0.00,0.00,197.00,100.00,33.00,210.00,109.00,18.00,174.00,83.00,8.00,8.00,1.00,2.00,4.00,1.00
OR,140.00,415.00, 333-5101,0.00,0.00,0.00,120.00,108.00,20.00,240.00,84.00,20.00,216.00,74.00,10.00,8.00,3.00,2.00,4.00,1.00
CT,56.00,415.00, 406-3069,0.00,0.00,0.00,162.00,99.00,28.00,149.00,78.00,13.00,256.00,115.00,12.00,15.00,1.00,4.00,4.00,1.00
WV,72.00,510.00, 418-6651,0.00,1.00,33.00,97.00,59.00,16.00,315.00,98.00,27.00,163.00,117.00,7.00,6.00,4.00,2.00,4.00,1.00
SC,101.00,415.00, 345-4589,0.00,0.00,0.00,158.00,92.00,27.00,188.00,117.00,16.00,220.00,125.00,10.00,14.00,4.00,4.00,4.00,1.00
IN,65.00,415.00, 329-6603,0.00,0.00,0.00,129.00,137.00,22.00,229.00,83.00,19.00,209.00,111.00,9.00,13.00,6.00,3.00,4.00,1.00
IA,40.00,510.00, 389-8417,0.00,0.00,0.00,170.00,115.00,29.00,141.00,123.00,12.00,253.00,115.00,11.00,11.00,3.00,3.00,4.00,1.00
WA,167.00,415.00, 416-5660,0.00,0.00,0.00,169.00,124.00,29.00,173.00,108.00,15.00,217.00,64.00,10.00,12.00,4.00,3.00,4.00,1.00
OR,33.00,415.00, 380-2558,0.00,1.00,29.00,157.00,99.00,27.00,118.00,80.00,10.00,279.00,79.00,13.00,14.00,11.00,4.00,4.00,1.00
MS,61.00,510.00, 414-8718,0.00,1.00,27.00,188.00,124.00,32.00,147.00,103.00,12.00,226.00,129.00,10.00,6.00,6.00,2.00,4.00,1.00
PA,75.00,510.00, 353-9998,0.00,0.00,0.00,109.00,88.00,19.00,259.00,120.00,22.00,182.00,119.00,8.00,13.00,3.00,4.00,4.00,1.00
NV,81.00,415.00, 399-9802,0.00,1.00,28.00,168.00,147.00,29.00,191.00,105.00,16.00,193.00,103.00,9.00,9.00,6.00,2.00,4.00,1.00
NJ,117.00,408.00, 397-2769,0.00,0.00,0.00,186.00,115.00,32.00,175.00,83.00,15.00,188.00,122.00,8.00,7.00,4.00,2.00,4.00,1.00
DE,122.00,510.00, 332-5521,0.00,0.00,0.00,157.00,134.00,27.00,185.00,122.00,16.00,197.00,59.00,9.00,9.00,5.00,2.00,4.00,1.00
RI,143.00,408.00, 332-2889,0.00,0.00,0.00,168.00,72.00,29.00,211.00,99.00,18.00,154.00,109.00,7.00,11.00,6.00,3.00,4.00,1.00
WI,72.00,415.00, 411-4648,0.00,0.00,0.00,130.00,106.00,22.00,189.00,138.00,16.00,213.00,116.00,10.00,8.00,4.00,2.00,4.00,1.00
NY,112.00,415.00, 391-1737,0.00,0.00,0.00,174.00,123.00,30.00,140.00,124.00,12.00,215.00,89.00,10.00,9.00,6.00,2.00,4.00,1.00
ME,118.00,408.00, 384-8723,1.00,1.00,21.00,157.00,122.00,27.00,209.00,125.00,18.00,159.00,81.00,7.00,11.00,3.00,3.00,4.00,1.00
IA,67.00,408.00, 340-6397,0.00,0.00,0.00,177.00,102.00,30.00,215.00,123.00,18.00,132.00,120.00,6.00,7.00,4.00,2.00,4.00,1.00
WA,65.00,510.00, 364-8637,0.00,0.00,0.00,183.00,63.00,31.00,184.00,80.00,16.00,154.00,83.00,7.00,11.00,4.00,3.00,4.00,1.00
MO,87.00,408.00, 388-1386,0.00,0.00,0.00,156.00,70.00,27.00,161.00,89.00,14.00,207.00,112.00,9.00,7.00,3.00,2.00,4.00,1.00
KS,170.00,415.00, 404-5840,0.00,1.00,42.00,200.00,119.00,34.00,135.00,90.00,11.00,185.00,49.00,8.00,11.00,3.00,3.00,4.00,1.00
NY,108.00,415.00, 344-7197,0.00,0.00,0.00,154.00,123.00,26.00,112.00,86.00,10.00,246.00,75.00,11.00,15.00,4.00,4.00,4.00,1.00
SD,72.00,415.00, 333-1661,0.00,1.00,38.00,84.00,116.00,14.00,267.00,127.00,23.00,168.00,75.00,8.00,8.00,6.00,2.00,4.00,1.00
AK,111.00,415.00, 364-7719,0.00,0.00,0.00,173.00,58.00,29.00,183.00,108.00,16.00,159.00,104.00,7.00,8.00,3.00,2.00,4.00,1.00
KS,167.00,415.00, 409-4734,0.00,0.00,0.00,132.00,120.00,22.00,211.00,96.00,18.00,168.00,97.00,8.00,11.00,4.00,3.00,4.00,1.00
NJ,124.00,415.00, 338-5344,0.00,0.00,0.00,108.00,92.00,18.00,214.00,83.00,18.00,186.00,155.00,8.00,13.00,11.00,4.00,4.00,1.00
ID,95.00,408.00, 395-6370,0.00,0.00,0.00,133.00,94.00,23.00,197.00,126.00,17.00,181.00,128.00,8.00,10.00,3.00,3.00,4.00,1.00
CO,132.00,415.00, 379-9524,0.00,0.00,0.00,198.00,66.00,34.00,134.00,119.00,11.00,177.00,94.00,8.00,11.00,3.00,3.00,4.00,1.00
LA,150.00,415.00, 381-4029,0.00,0.00,0.00,137.00,112.00,23.00,209.00,81.00,18.00,161.00,78.00,7.00,12.00,2.00,3.00,4.00,1.00
SC,108.00,415.00, 399-6233,0.00,0.00,0.00,112.00,105.00,19.00,194.00,110.00,16.00,209.00,93.00,9.00,4.00,4.00,1.00,4.00,1.00
WA,174.00,408.00, 352-6068,0.00,1.00,33.00,168.00,91.00,29.00,205.00,91.00,17.00,130.00,132.00,6.00,15.00,4.00,4.00,4.00,1.00
ME,173.00,408.00, 332-3072,0.00,0.00,0.00,129.00,108.00,22.00,248.00,92.00,21.00,130.00,115.00,6.00,10.00,2.00,3.00,4.00,1.00
OH,95.00,510.00, 372-6246,0.00,1.00,24.00,129.00,120.00,22.00,160.00,68.00,14.00,214.00,83.00,10.00,13.00,4.00,3.00,4.00,1.00
TX,125.00,415.00, 330-8642,0.00,0.00,0.00,190.00,107.00,32.00,209.00,75.00,18.00,102.00,136.00,5.00,14.00,5.00,4.00,4.00,1.00
AZ,66.00,510.00, 337-8618,0.00,0.00,0.00,154.00,133.00,26.00,199.00,121.00,17.00,152.00,100.00,7.00,10.00,3.00,3.00,4.00,1.00
MS,123.00,415.00, 388-8948,1.00,0.00,0.00,126.00,106.00,21.00,129.00,96.00,11.00,252.00,129.00,11.00,6.00,6.00,2.00,4.00,1.00
WA,90.00,415.00, 374-9576,1.00,0.00,0.00,148.00,96.00,25.00,220.00,111.00,19.00,134.00,97.00,6.00,9.00,1.00,2.00,4.00,1.00
WI,161.00,408.00, 415-3537,0.00,0.00,0.00,155.00,84.00,26.00,178.00,125.00,15.00,173.00,90.00,8.00,6.00,2.00,2.00,4.00,1.00
IN,94.00,408.00, 402-1251,0.00,0.00,0.00,158.00,105.00,27.00,155.00,101.00,13.00,190.00,84.00,9.00,8.00,5.00,2.00,4.00,1.00
TX,150.00,510.00, 374-8042,0.00,0.00,0.00,179.00,101.00,30.00,169.00,110.00,14.00,149.00,100.00,7.00,14.00,3.00,4.00,4.00,1.00
CA,112.00,415.00, 346-4157,0.00,0.00,0.00,105.00,101.00,18.00,187.00,92.00,16.00,206.00,101.00,9.00,11.00,2.00,3.00,4.00,1.00
FL,91.00,415.00, 382-3034,0.00,0.00,0.00,153.00,70.00,26.00,232.00,91.00,20.00,115.00,80.00,5.00,10.00,3.00,3.00,4.00,1.00
ME,88.00,415.00, 405-5513,0.00,0.00,0.00,86.00,112.00,15.00,222.00,70.00,19.00,191.00,75.00,9.00,12.00,3.00,3.00,4.00,1.00
MT,117.00,510.00, 336-7952,0.00,0.00,0.00,181.00,134.00,31.00,217.00,96.00,18.00,101.00,122.00,5.00,11.00,6.00,3.00,4.00,1.00
MT,63.00,415.00, 380-1860,0.00,0.00,0.00,163.00,86.00,28.00,165.00,112.00,14.00,164.00,67.00,7.00,13.00,6.00,4.00,4.00,1.00
NH,149.00,415.00, 368-7706,0.00,0.00,0.00,119.00,88.00,20.00,168.00,110.00,14.00,205.00,119.00,9.00,12.00,6.00,3.00,4.00,1.00
NJ,111.00,510.00, 332-5084,0.00,0.00,0.00,177.00,128.00,30.00,103.00,56.00,9.00,214.00,84.00,10.00,11.00,2.00,3.00,4.00,1.00
ME,75.00,408.00, 343-1965,1.00,0.00,0.00,211.00,61.00,36.00,106.00,119.00,9.00,176.00,63.00,8.00,10.00,4.00,3.00,4.00,1.00
LA,61.00,408.00, 400-3569,0.00,0.00,0.00,141.00,126.00,24.00,213.00,115.00,18.00,142.00,79.00,6.00,6.00,5.00,2.00,4.00,1.00
AR,127.00,415.00, 416-3649,1.00,0.00,0.00,143.00,60.00,24.00,180.00,159.00,15.00,172.00,122.00,8.00,6.00,4.00,2.00,4.00,1.00
MT,64.00,415.00, 386-9320,0.00,0.00,0.00,131.00,105.00,22.00,109.00,114.00,9.00,246.00,125.00,11.00,13.00,4.00,3.00,4.00,1.00
